DATE,QTAXTOTALQTAXCAT3CONO
1994-01-01,885
1994-04-01,1154
1994-07-01,1057
1994-10-01,1037
1995-01-01,1044
1995-04-01,1274
1995-07-01,1164
1995-10-01,1135
1996-01-01,1105
1996-04-01,1400
1996-07-01,1250
1996-10-01,1241
1997-01-01,1181
1997-04-01,1535
1997-07-01,1477
1997-10-01,1360
1998-01-01,1279
1998-04-01,1747
1998-07-01,1533
1998-10-01,1522
1999-01-01,1469
1999-04-01,2002
1999-07-01,1612
1999-10-01,1664
2000-01-01,1615
2000-04-01,2124
2000-07-01,1806
2000-10-01,1798
2001-01-01,1740
2001-04-01,2206
2001-07-01,1724
2001-10-01,1648
2002-01-01,1589
2002-04-01,1936
2002-07-01,1671
2002-10-01,1647
2003-01-01,1486
2003-04-01,1826
2003-07-01,1750
2003-10-01,1651
2004-01-01,1590
2004-04-01,2008
2004-07-01,1855
2004-10-01,1795
2005-01-01,1679
2005-04-01,2320
2005-07-01,1990
2005-10-01,1986
2006-01-01,1864
2006-04-01,2712
2006-07-01,2170
2006-10-01,2016
2007-01-01,2013
2007-04-01,2995
2007-07-01,2273
2007-10-01,2205
2008-01-01,2033
2008-04-01,3056
2008-07-01,2342
2008-10-01,2159
2009-01-01,1828
2009-04-01,2333
2009-07-01,2058
2009-10-01,2003
2010-01-01,1818
2010-04-01,2369
2010-07-01,2180
2010-10-01,2179
2011-01-01,2179
2011-04-01,2761
2011-07-01,2453
2011-10-01,2444
2012-01-01,2291
2012-04-01,3061
2012-07-01,2639
2012-10-01,2631
2013-01-01,2492
2013-04-01,3435
2013-07-01,2774
2013-10-01,2792
2014-01-01,2708
2014-04-01,3537
2014-07-01,3045
2014-10-01,3043
2015-01-01,2908
2015-04-01,3808
2015-07-01,3150
2015-10-01,3061
2016-01-01,2910
2016-04-01,3715
2016-07-01,3166
2016-10-01,3140
2017-01-01,2943
2017-04-01,3994
2017-07-01,3405
2017-10-01,3508
2018-01-01,3525
2018-04-01,4358
2018-07-01,3772
2018-10-01,3571
2019-01-01,3317
2019-04-01,4638
2019-07-01,3875
2019-10-01,3562
2020-01-01,3476
2020-04-01,3282
2020-07-01,4988
2020-10-01,3955
2021-01-01,3622
2021-04-01,5205
2021-07-01,4592
2021-10-01,4512
2022-01-01,4297
