"Label (Grouping)","Wichita Unified School District 259, Kansas!!Households!!Estimate","Wichita Unified School District 259, Kansas!!Households!!Margin of Error","Wichita Unified School District 259, Kansas!!Families!!Estimate","Wichita Unified School District 259, Kansas!!Families!!Margin of Error","Wichita Unified School District 259, Kansas!!Married-couple families!!Estimate","Wichita Unified School District 259, Kansas!!Married-couple families!!Margin of Error","Wichita Unified School District 259, Kansas!!Nonfamily households!!Estimate","Wichita Unified School District 259, Kansas!!Nonfamily households!!Margin of Error"
"Total","132,416","±1,110","77,977","±1,077","52,305","±1,279","54,439","±1,096"
"Less than $10,000","8.8%","±0.5","5.4%","±0.6","1.7%","±0.3","14.7%","±1.0"
"$10,000 to $14,999","6.5%","±0.5","4.3%","±0.5","1.6%","±0.3","10.3%","±0.9"
"$15,000 to $24,999","14.0%","±0.7","10.5%","±0.8","6.3%","±0.8","19.2%","±1.1"
"$25,000 to $34,999","13.1%","±0.7","11.9%","±0.8","9.2%","±0.9","16.0%","±1.2"
"$35,000 to $49,999","15.8%","±0.6","14.7%","±0.8","14.8%","±0.8","16.6%","±0.9"
"$50,000 to $74,999","18.9%","±0.7","21.7%","±0.8","24.6%","±1.0","14.0%","±1.2"
"$75,000 to $99,999","10.5%","±0.5","13.7%","±0.7","16.9%","±0.9","5.4%","±0.7"
"$100,000 to $149,999","8.4%","±0.5","12.0%","±0.7","16.7%","±1.0","2.5%","±0.4"
"$150,000 to $199,999","2.0%","±0.2","3.0%","±0.3","4.1%","±0.5","0.6%","±0.2"
"$200,000 or more","2.0%","±0.2","2.8%","±0.3","3.9%","±0.5","0.8%","±0.2"
"Median income (dollars)","41,874","±859","53,285","±845","66,064","±1,254","28,010","±936"
"Mean income (dollars)","55,038","±800","66,217","±1,104","80,191","±1,471","37,144","±1,037"
"PERCENT IMPUTED","","","","","","","",""
"    Household income in the past 12 months","24.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","24.5%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","23.1%","(X)"
