"Label (Grouping)","Wichita Unified School District 259, Kansas!!Households!!Estimate","Wichita Unified School District 259, Kansas!!Households!!Margin of Error","Wichita Unified School District 259, Kansas!!Families!!Estimate","Wichita Unified School District 259, Kansas!!Families!!Margin of Error","Wichita Unified School District 259, Kansas!!Married-couple families!!Estimate","Wichita Unified School District 259, Kansas!!Married-couple families!!Margin of Error","Wichita Unified School District 259, Kansas!!Nonfamily households!!Estimate","Wichita Unified School District 259, Kansas!!Nonfamily households!!Margin of Error"
"Total","132,004","±1,178","76,371","±1,119","51,460","±1,161","55,633","±1,344"
"    Less than $10,000","9.7%","±0.6","6.1%","±0.6","2.2%","±0.4","15.5%","±1.1"
"    $10,000 to $14,999","5.4%","±0.4","3.6%","±0.5","1.7%","±0.4","8.6%","±0.8"
"    $15,000 to $24,999","12.6%","±0.6","8.3%","±0.7","5.0%","±0.7","18.8%","±1.2"
"    $25,000 to $34,999","12.4%","±0.7","10.6%","±0.8","8.1%","±0.8","15.2%","±1.0"
"    $35,000 to $49,999","15.7%","±0.7","14.8%","±0.9","13.6%","±1.0","16.5%","±0.9"
"    $50,000 to $74,999","19.4%","±0.7","21.8%","±0.9","24.3%","±1.2","15.5%","±1.0"
"    $75,000 to $99,999","10.1%","±0.6","13.6%","±1.0","16.7%","±1.1","4.8%","±0.6"
"    $100,000 to $149,999","9.6%","±0.5","13.6%","±0.7","18.0%","±1.0","3.4%","±0.5"
"    $150,000 to $199,999","2.7%","±0.2","3.9%","±0.3","5.5%","±0.5","0.9%","±0.2"
"    $200,000 or more","2.4%","±0.2","3.5%","±0.3","4.9%","±0.4","0.9%","±0.3"
"Median income (dollars)","43,589","±983","56,352","±1,175","69,838","±1,579","29,428","±926"
"Mean income (dollars)","59,189","±1,021","72,547","±1,373","87,393","±1,760","38,930","±1,182"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","34.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","35.7%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","31.1%","(X)"
