Revenue Month,Revenue Year,state_sales_ta_total,medical_marijuana,retail_marijuana,RMS_tax_total ,RMS_local_government_distribution,RMS_retained_by_state_total,RMS_marijuana_tax_cash_fund,RMS_public_school_fund,RMS_general_fund,RME_tax_total,RME_public_school_capital_construction_assistance_fund,RME_public_school_fund,license_and_fees_total,total_taxes_and_fees
1,2014,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2,2014,"$1,330,209 ","$913,519 ","$416,690 ","$1,401,568 ","$210,269 ","$1,191,534 ",$0 ,$0 ,$0 ,"$195,318 ","$195,286 ",$0 ,"$592,661 ","$3,519,755 "
3,2014,"$1,460,429 ","$1,022,176 ","$438,253 ","$1,434,916 ","$212,674 ","$1,210,786 ",$0 ,$0 ,$0 ,"$339,615 ","$339,531 ",$0 ,"$857,615 ","$4,092,575 "
4,2014,"$1,569,405 ","$999,900 ","$569,505 ","$1,898,685 ","$285,215 ","$1,613,861 ",$0 ,$0 ,$0 ,"$609,907 ","$609,887 ",$0 ,"$902,995 ","$4,980,992 "
5,2014,"$1,559,710 ","$919,982 ","$639,728 ","$2,217,607 ","$330,057 ","$1,864,829 ",$0 ,$0 ,$0 ,"$734,351 ","$732,406 ",$0 ,"$761,687 ","$5,273,355 "
6,2014,"$1,569,454 ","$927,330 ","$642,124 ","$2,070,577 ","$315,356 ","$1,787,025 ",$0 ,$0 ,$0 ,"$1,135,648 ","$1,135,718 ",$0 ,"$940,028 ","$5,715,707 "
7,2014,"$1,530,968 ","$830,861 ","$700,107 ","$2,473,627 ","$368,231 ","$2,086,648 ",$0 ,$0 ,$0 ,"$969,637 ","$963,551 ",$0 ,"$1,547,853 ","$6,522,085 "
8,2014,"$1,659,789 ","$838,711 ","$821,078 ","$2,970,183 ","$443,498 ","$2,513,164 ",$0 ,$0 ,$0 ,"$1,397,930 ","$1,399,496 ",$0 ,"$1,379,549 ","$7,407,450 "
9,2014,"$1,892,780 ","$935,807 ","$956,973 ","$3,307,078 ","$496,211 ","$2,811,874 ",$0 ,$0 ,$0 ,"$1,464,796 ","$1,458,036 ",$0 ,"$1,076,513 ","$7,741,167 "
10,2014,"$1,795,545 ","$908,630 ","$886,915 ","$2,940,346 ","$443,937 ","$2,515,663 ",$0 ,$0 ,$0 ,"$1,446,105 ","$1,454,528 ",$0 ,"$1,050,874 ","$7,232,870 "
