"Table 204.10. Number and percentage of public school students eligible for free or reduced-price lunch, by state: Selected years, 2000-01 through
              2014-15",,,,,,,,,,,,,,,, 
State,Number of students,,,,,Number of students eligible for free/reduced-price lunch,,,,,Percent of students eligible for free/reduced-price lunch,,,,,
,2000-01,,2010-11,2013-14,2014-15,2000-01,,2010-11,2013-14,2014-15,2000-01,,2010-11,2013-14,2014-15,
1 ,2,,3,4,5,6,,7,8,9,10,,11,12,13,
   United States .............,"46,579,068",\1\,"48,941,267","49,235,065","49,864,608","17,839,867",\1\,"23,544,479","25,596,274","25,826,297",38.3,\1\,48.1,52.0,51.8,
Alabama ....................,"728,351",,"730,427","743,018","743,655","335,143",,"402,386","434,095","384,985",46.0,,55.1,58.4,51.8,
Alaska ..................,"105,333",,"132,104","130,386","131,158","32,468",,"50,701","56,053","56,566",30.8,,38.4,43.0,43.1,
Arizona .....................,"877,696",\2\,"1,067,210","1,018,883","1,003,956","274,277",\2\,"482,044","543,811","431,924",31.2,\2\,45.2,53.4,43.0,
Arkansas ..................,"449,959",,"482,114","489,979","490,917","205,058",,"291,608","300,050","305,657",45.6,,60.5,61.2,62.3,
California .................,"6,050,753",,"6,169,427","6,210,899","6,222,265","2,820,611",,"3,335,885","3,610,385","3,651,095",46.6,,54.1,58.1,58.7,
,,,,,,,,,,,,,,,,
Colorado ....................,"724,349",,"842,864","875,866","888,721","195,148",,"336,426","367,665","369,738",26.9,,39.9,42.0,41.6,
Connecticut ...............,"562,179",\2\,"552,919","546,020","542,412","143,030",\2\,"190,554","202,514","204,521",25.4,\2\,34.5,37.1,37.7,
Delaware ..................,"114,676",,"128,342","130,849","133,835","37,766",,"61,564","51,939","49,598",32.9,,48.0,39.7,37.1,
District of Columbia ........,"68,380",,"71,263","78,153","80,907","47,839",,"52,027","77,505","74,760",70.0,,73.0,99.2,92.4,
Florida ..................,"2,434,755",,"2,641,555","2,720,739","2,755,825","1,079,009",,"1,479,519","1,589,861","1,609,398",44.3,,56.0,58.4,58.4,
,,,,,,,,,,,,,,,,
Georgia ............................,"1,444,937",,"1,676,419","1,723,449","1,744,397","624,511",,"961,954","1,070,855","1,088,688",43.2,,57.4,62.1,62.4,
Hawaii .....................,"184,357",,"179,601","186,825","182,384","80,657",,"84,106","94,312","91,385",43.8,,46.8,50.5,50.1,
Idaho ........................,"244,755",,"275,815","293,001","290,860","85,824",,"124,104","138,886","141,199",35.1,,45.0,47.4,48.5,
Illinois .................,"2,048,792",\2\,"1,973,401","2,030,536","2,041,615","759,973",\2\,"921,471","1,044,588","1,104,382",37.1,\2\,46.7,51.4,54.1,
Indiana ....................,"977,219",,"1,038,817","1,045,996","1,044,411","285,267",,"485,728","514,937","513,987",29.2,,46.8,49.2,49.2,
,,,,,,,,,,,,,,,,
Iowa ........................,"492,021",,"484,856","493,505","496,848","131,553",,"188,486","201,703","202,288",26.7,,38.9,40.9,40.7,
Kansas .....................,"462,594",,"479,953","491,553","490,859","154,693",,"228,852","246,033","244,715",33.4,,47.7,50.1,49.9,
Kentucky .................,"626,723",,"673,128","671,962","688,586","298,334",,"380,773","368,159","391,714",47.6,,56.6,54.8,56.9,
Louisiana ...................,"741,162",,"695,772","694,980","716,796","433,068",,"460,546","463,987","455,884",58.4,,66.2,66.8,63.6,
Maine .....................,"198,532",,"183,477","176,881","177,278","60,162",,"78,915","80,952","83,544",30.3,,43.0,45.8,47.1,
,,,,,,,,,,,,,,,,
Maryland ....................,"852,911",,"852,202","866,169","874,500","255,872",,"341,557","382,440","393,773",30.0,,40.1,44.2,45.0,
Massachusetts ..............,"979,590",,"955,301","955,007","955,840","237,871",,"326,849","365,473","381,601",24.3,,34.2,38.3,39.9,
Michigan .....................,"1,703,260",,"1,551,861","1,505,679","1,491,721","504,044",,"719,800","726,974","695,328",29.6,,46.4,48.3,46.6,
Minnesota ...................,"854,154",,"837,930","850,232","856,895","218,867",,"306,136","326,864","328,531",25.6,,36.5,38.4,38.3,
Mississippi .............,"497,421",,"489,462","492,586","490,917","319,670",,"345,734","355,484","361,714",64.3,,70.6,72.2,73.7,
,,,,,,,,,,,,,,,,
Missouri ..................,"912,247",,"902,375","910,555","918,090","315,608",,"406,358","452,824","470,927",34.6,,45.0,49.7,51.3,
Montana .....................,"154,438",,"140,497","141,974","144,373","47,415",,"57,836","59,717","63,014",30.7,,41.2,42.1,43.6,
Nebraska ....................,"286,138",,"298,276","306,992","312,600","87,045",,"127,114","137,948","138,379",30.4,,42.6,44.9,44.3,
Nevada ....................,"282,621",,"436,840","449,895","458,371","92,978",,"219,904","238,936","239,865",32.9,,50.3,53.1,52.3,
New Hampshire ..................,"206,919",,"194,001","185,299","183,597","31,212",,"48,904","51,564","53,232",15.1,,25.2,27.8,29.0,
,,,,,,,,,,,,,,,,
New Jersey .................,"1,312,983",,"1,356,882","1,364,880","1,368,423","357,728",,"444,735","518,636","502,980",27.2,,32.8,38.0,36.8,
New Mexico .................,"320,303",,"335,810","338,607","338,108","174,939",,"227,077","227,413","211,610",54.6,,67.6,67.2,62.6,
