DATE,QTAXTOTALQTAXCAT3ORNO
1994-01-01,956
1994-04-01,1276
1994-07-01,980
1994-10-01,996
1995-01-01,954
1995-04-01,1356
1995-07-01,1019
1995-10-01,952
1996-01-01,1059
1996-04-01,1399
1996-07-01,1125
1996-10-01,1060
1997-01-01,1173
1997-04-01,1589
1997-07-01,1345
1997-10-01,843
1998-01-01,1108
1998-04-01,1693
1998-07-01,1261
1998-10-01,1282
1999-01-01,983
1999-04-01,1661
1999-07-01,1336
1999-10-01,1298
2000-01-01,1307
2000-04-01,1930
2000-07-01,1495
2000-10-01,1419
2001-01-01,1406
2001-04-01,1865
2001-07-01,1272
2001-10-01,1193
2002-01-01,1240
2002-04-01,1521
2002-07-01,1419
2002-10-01,1408
2003-01-01,1207
2003-04-01,1644
2003-07-01,1538
2003-10-01,1524
2004-01-01,1301
2004-04-01,1740
2004-07-01,1575
2004-10-01,1504
2005-01-01,1434
2005-04-01,2399
2005-07-01,1722
2005-10-01,1769
2006-01-01,1671
2006-04-01,2449
2006-07-01,1805
2006-10-01,1805
2007-01-01,1577
2007-04-01,2561
2007-07-01,1867
2007-10-01,835
2008-01-01,1726
2008-04-01,2787
2008-07-01,2014
2008-10-01,1966
2009-01-01,1398
2009-04-01,2026
2009-07-01,1851
2009-10-01,1677
2010-01-01,1484
2010-04-01,2243
2010-07-01,1904
2010-10-01,1697
2011-01-01,1752
2011-04-01,2562
2011-07-01,2127
2011-10-01,2015
2012-01-01,1703
2012-04-01,2772
2012-07-01,2221
2012-10-01,2170
2013-01-01,1820
2013-04-01,2996
2013-07-01,2270
2013-10-01,2190
2014-01-01,1954
2014-04-01,3170
2014-07-01,2403
2014-10-01,2419
2015-01-01,2557
2015-04-01,3436
2015-07-01,2686
2015-10-01,2610
2016-01-01,2233
2016-04-01,3091
2016-07-01,2754
2016-10-01,2531
2017-01-01,2440
2017-04-01,3509
2017-07-01,2839
2017-10-01,2797
2018-01-01,2616
2018-04-01,3767
2018-07-01,3192
2018-10-01,2806
2019-01-01,2588
2019-04-01,4336
2019-07-01,3381
2019-10-01,2964
2020-01-01,2378
2020-04-01,2939
2020-07-01,3963
2020-10-01,3121
2021-01-01,2748
2021-04-01,4490
2021-07-01,3649
2021-10-01,4059
2022-01-01,3093
