year,people (thousands)
1939,233.5
1940,238.3
1941,260.2
1942,307.8
1943,307.9
1944,291.5
1945,296.0
1946,314.8
1947,338.0
1948,348.0
1949,341.5
1950,361.3
1951,397.3
1952,416.5
1953,421.4
1954,416.1
1955,436.8
1956,456.9
1957,475.5
1958,475.9
1959,497.6
1960,521.0
1961,542.9
1962,557.5
1963,571.8
1964,583.2
1965,599.0
1966,631.3
1967,655.9
1968,686.7
1969,720.8
1970,750.2
1971,787.1
1972,869.4
1973,936.0
1974,959.7
1975,963.5
1976,1003.4
1977,1058.1
1978,1149.9
1979,1218.0
1980,1251.1
1981,1295.2
1982,1316.6
1983,1327.2
1984,1402.3
1985,1418.7
1986,1408.3
1987,1412.6
1988,1436.1
1989,1482.3
1990,1520.6
1991,1544.7
1992,1596.6
1993,1670.4
1994,1755.6
1995,1834.4
1996,1900.4
1997,1979.7
1998,2057.1
1999,2132.1
2000,2213.2
2001,2226.2
2002,2183.4
2003,2152.1
2004,2178.9
2005,2225.1
2006,2278.2
2007,2330.3
2008,2349.3
2009,2244.4
2010,2221.1
2011,2257.3
2012,2311.7
2013,2380.5
2014,2463.6
2015,2541.0
2016,2601.7
2017,2660.3
2018,2727.3
2019,2790.1
2020,2651.1
2021,2744.0
