year,people (thousands)
1939,84.4
1940,88.9
1941,96.2
1942,107.0
1943,102.2
1944,102.1
1945,102.9
1946,114.4
1947,122.6
1948,125.0
1949,126.2
1950,131.6
1951,138.7
1952,137.8
1953,135.8
1954,133.4
1955,138.5
1956,145.4
1957,148.0
1958,150.8
1959,154.9
1960,155.2
1961,159.1
1962,164.6
1963,164.7
1964,168.6
1965,177.6
1966,184.8
1967,187.7
1968,192.9
1969,201.4
1970,207.9
1971,217.2
1972,236.5
1973,251.7
1974,266.8
1975,273.0
1976,291.1
1977,307.4
1978,331.3
1979,338.0
1980,330.0
1981,327.8
1982,312.2
1983,317.9
1984,330.5
1985,336.0
1986,328.2
1987,333.4
1988,348.6
1989,365.8
1990,385.4
1991,397.5
1992,414.5
1993,433.8
1994,459.0
1995,475.7
1996,489.2
1997,505.6
1998,521.5
1999,539.3
2000,560.1
2001,568.2
2002,568.6
2003,572.4
2004,588.2
2005,611.2
2006,638.3
2007,654.7
2008,648.5
2009,609.4
2010,603.2
2011,610.4
2012,621.7
2013,637.3
2014,653.9
2015,671.6
2016,694.2
2017,714.8
2018,738.5
2019,760.2
2020,754.8
2021,795.0
