year,people (thousands)
1939,296.0
1940,307.0
1941,345.6
1942,421.4
1943,471.4
1944,457.0
1945,421.9
1946,403.0
1947,427.0
1948,443.2
1949,448.3
1950,464.4
1951,511.8
1952,539.0
1953,545.2
1954,542.4
1955,545.1
1956,551.8
1957,556.0
1958,547.7
1959,560.3
1960,560.3
1961,562.5
1962,573.5
1963,574.2
1964,587.3
1965,600.4
1966,634.3
1967,652.8
1968,672.1
1969,686.5
1970,678.8
1971,677.9
1972,717.5
1973,763.3
1974,790.0
1975,801.2
1976,834.8
1977,871.0
1978,912.5
1979,946.8
1980,944.7
1981,949.8
1982,921.4
1983,921.5
1984,960.8
1985,967.9
1986,984.8
1987,1005.1
1988,1035.4
1989,1064.2
1990,1092.3
1991,1097.4
1992,1117.0
1993,1135.5
1994,1168.1
1995,1200.6
1996,1229.2
1997,1270.7
1998,1314.8
1999,1329.1
2000,1346.8
2001,1349.4
2002,1336.4
2003,1313.8
2004,1325.8
2005,1334.5
2006,1355.4
2007,1381.8
2008,1392.8
2009,1345.4
2010,1330.5
2011,1340.5
2012,1358.1
2013,1372.6
2014,1391.5
2015,1400.8
2016,1404.6
2017,1404.2
2018,1415.7
2019,1423.8
2020,1358.6
2021,1373.3
