year,people (thousands)
1939,430.9
1940,465.5
1941,540.2
1942,660.1
1943,735.5
1944,772.2
1945,706.5
1946,649.4
1947,670.9
1948,685.5
1949,671.5
1950,683.8
1951,734.8
1952,745.8
1953,748.7
1954,741.4
1955,768.0
1956,784.8
1957,803.3
1958,789.6
1959,812.7
1960,812.6
1961,818.5
1962,856.6
1963,850.6
1964,854.8
1965,896.5
1966,988.5
1967,1045.3
1968,1099.3
1969,1120.2
1970,1079.3
1971,1064.4
1972,1100.1
1973,1152.2
1974,1199.1
1975,1225.7
1976,1282.9
1977,1366.9
1978,1485.4
1979,1581.2
1980,1608.3
1981,1612.0
1982,1568.6
1983,1586.2
1984,1659.6
1985,1710.4
1986,1769.9
1987,1851.8
1988,1941.9
1989,2048.2
1990,2147.7
1991,2182.2
1992,2227.6
1993,2267.0
1994,2316.7
1995,2361.3
1996,2430.8
1997,2536.4
1998,2621.5
1999,2679.5
2000,2746.1
2001,2735.2
2002,2694.1
2003,2701.7
2004,2739.8
2005,2812.6
2006,2894.3
2007,2968.4
2008,2993.8
2009,2862.8
2010,2836.2
2011,2872.5
2012,2919.6
2013,2984.0
2014,3057.2
2015,3144.7
2016,3242.7
2017,3321.1
2018,3401.1
2019,3467.8
2020,3281.1
2021,3356.5
