year,people (thousands)
1939,54.3
1940,55.6
1941,60.6
1942,62.9
1943,64.8
1944,65.0
1945,65.0
1946,67.3
1947,73.1
1948,79.3
1949,78.7
1950,80.2
1951,82.9
1952,85.7
1953,87.2
1954,85.4
1955,85.5
1956,87.3
1957,88.0
1958,88.3
1959,92.3
1960,96.5
1961,96.4
1962,95.6
1963,96.2
1964,97.2
1965,96.7
1966,97.2
1967,99.0
1968,102.9
1969,107.0
1970,108.4
1971,111.1
1972,117.3
1973,126.1
1974,136.5
1975,146.0
1976,156.6
1977,170.6
1978,187.4
1979,200.7
1980,210.2
1981,223.5
1982,217.7
1983,202.5
1984,204.3
1985,206.9
1986,196.3
1987,183.1
1988,189.0
1989,192.8
1990,198.5
1991,203.1
1992,205.6
1993,210.4
1994,216.9
1995,219.4
1996,221.2
1997,224.6
1998,228.3
1999,233.1
2000,239.4
2001,245.4
2002,247.9
2003,250.0
2004,255.4
2005,263.9
2006,277.5
2007,289.5
2008,298.7
2009,287.1
2010,284.4
2011,289.4
2012,292.8
2013,294.0
2014,298.4
2015,296.9
2016,285.9
2017,283.6
2018,285.9
2019,290.5
2020,274.0
2021,277.8
