GeoName,Description,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1
Idaho,All industry total,47497,48324.1,49347.3,49402.8,50612.9,51293,50831.7,51765.5,52804,53375.7,54137.5,55420.8,55403.5,56669.4,56946.4,55783.8,54730.1,53503.3,53885.1,54137.7,54950.3,55114.6,55828.1,56457.2,56269,56758.1,57097.1,57640.2,57587,58164.9,58816.1,58727.8,60557.8,61484.8,62229.3,63071.2,63206.8,64317.7,65075.1,65701.2,65898.7,65629.2,66103.9,65967.9,67562.3,68710.7,69552,69524.8,70012.1,71318.4,72007.1,73416.1,75819.4,77257.3,77751.3,79147.5,80531.4,81815.3,83080.5,84253.3,84482.3,77635.9,85470,87698.2,90552.1,93410.5,94849.9,98454.6,100797.7
Idaho,  Private industries,40782.5,41557.9,42360.3,42199,43476.8,43890.5,43618.7,44341.4,45381.2,45800.7,46537.5,47773.5,47644.4,48840.3,49085.3,47769.1,46792.3,45465.2,45892.6,46101.4,46957.6,47090.5,47856.5,48473.4,48437.2,48704.4,49020,49690.3,49520.5,50109,50576.2,50326.2,52163.6,53085.3,53832.6,54729.2,54834.9,55840.7,56450.7,57104.4,56998,56756,57025.6,56853.5,58521.4,59640.1,60141.8,59997.8,60616.9,61520.5,62311.1,63395.8,65819.3,67013.4,67433.7,68762.6,70055.2,71250.2,72433.6,73493.5,73466.1,66900,74544.1,76652.5,79391.2,82036.3,83254.6,86829.4,89019.4
Idaho,"      Agriculture, forestry, fishing and hunting",2313.2,2347.2,2217.5,2031.9,2238.9,2295.7,2355.5,2300.5,2989.1,2868,2875.1,2969.9,2929.2,2954.3,3001.1,2908.6,1974.6,2071.7,2221.6,2436.8,2437.6,2570.5,2650.1,2812.7,3366.6,3298.1,3463.3,3491.4,3263.8,3245.6,3550.7,3651,3717.3,3943.1,3879.8,3582,3772.5,4138,3914.6,3979,3703.5,3688.9,3612.2,3285.3,3499.1,3465.4,3412.1,3387.6,3129,3321.8,3193.3,3198.5,3784.5,3741.4,3389.1,3367.6,3832.2,3750.9,3620.2,3657.9,4152.5,3084.8,3934.8,4092.3,3695.3,4204.4,4077.9,4359.1,5146.1
Idaho,"      Mining, quarrying, and oil and gas extraction",424.7,534,774.5,618.8,576.7,635.9,480.8,478.7,499.4,539.2,587,656.9,725.7,941.5,965.3,1012.3,754.7,811.4,897.4,999.7,1384.3,1056,1186.1,1226,1396.6,1396.4,1312,1106.1,856.4,784.7,614,668.8,806.5,1022.4,1158.5,1373.5,1438.8,1425.6,1578.5,1403.5,1023,882.3,830.5,823.9,1031.6,1044.6,1096.6,939.9,708,587.5,457.8,449.2,602.1,510.4,576.3,560.9,449.3,491.7,454.7,527.1,553,433,706.7,869.7,1189.2,1107.2,1184.7,1371.3,1474.8
Idaho,      Utilities,612.3,574.2,621.5,597.7,711.8,723.2,697.2,735.2,716.7,730,740.1,706.8,701.2,784.3,930.6,889,1068.9,987.3,915,934.1,1282.1,1141.9,1135.2,1139,1155.9,1164.4,1247.3,1269.6,1209.1,1281.8,1227.3,1248.7,1280.1,1322.8,1312.4,1365.4,1349.5,1279,1297.9,1334.5,1262.1,1282.7,1310.7,1361.1,1242.8,1315.8,1371.7,1381.5,1403.3,1389.5,1356.4,1350.9,1330.1,1365.3,1269,1296.1,1319.1,1298.1,1394,1427,1403.1,1421.7,1458.3,1461.7,1456,1498.3,1562.4,1653.9,1631.1
Idaho,      Construction,2875.6,3087.1,3194.4,3339,3673.6,3740.7,3684.9,3708.9,4034.5,4069.1,3898.9,4404.5,3674.1,3538.6,3390.1,3228.8,3077,2839.8,2752.7,2554.5,2534.5,2444.3,2407.2,2359.8,2275.7,2366.3,2370.2,2412.5,2417,2480.4,2571.6,2634.6,2719.1,2854,2956.5,3015.5,3025.3,3060.6,3135.6,3193.9,3398.9,3274.6,3203.6,3194.4,3422.8,3385.2,3489.1,3493.5,3573.5,3654.2,3692.9,3733.2,3765.2,3793.4,3844.3,4007.8,4212.1,4278.7,4439.3,4533.6,4576.5,4457.2,4634.5,4764.2,5182,5191.6,5224.3,5457,5546.9
Idaho,      Manufacturing,6703,7152.3,7035.8,6607.9,6398.7,5764.4,5604.3,5379.3,5310.6,5424.4,5673.9,5753.1,5964.4,6453.3,6701.3,6483.8,6501.3,6062.1,6558.7,6432,6406.1,6470.9,6854.5,7026,6667.6,6661.7,6658.6,6902.1,6976.4,7339.1,6972.6,6724.9,6901.6,6911.2,6928,7216.7,7101,7053.3,7213.6,7618.8,7241.9,7133.4,7091.7,6833.6,7359.8,7597.2,7512.8,6846.7,7450.2,7449.4,7730.6,7982.3,8201,8441.3,8572.9,9115,8427.2,8714.4,9222.4,9186.5,9201.6,8356.7,9377.8,9561,9629.3,10317.9,10436.2,10951.8,11167.7
Idaho,          Durable goods manufacturing,5283,5736.1,5572.2,5120.3,4786.9,4094.7,3868.1,3690.8,3533.8,3588.9,3791.9,3793.6,3968.1,4307,4492.6,4417.2,4307.5,3876.4,4291.3,4134.6,4355.7,4342.7,4671.8,4799.6,4458.7,4345.6,4289.6,4391,4335,4669.9,4373.2,4114.1,4168.6,4275.7,4417.6,4655.3,4666.6,4496.2,4481.1,4910.4,4293.4,4159.2,4060.5,3916.4,4312.8,4688.1,4713.4,4191.1,4495.6,4487.1,4559.1,4707.5,5077.5,5167.5,5176.5,5470.6,5010.2,5048.6,5355.2,5185.9,5170.7,4776.6,5359.1,5529.6,5349.2,5765.3,5743.7,5932.3,6069.8
Idaho,          Nondurable goods manufacturing,1420,1416.2,1463.6,1487.6,1611.8,1669.6,1736.2,1688.5,1776.9,1835.5,1882.1,1959.5,1996.3,2146.3,2208.7,2066.6,2193.8,2185.6,2267.3,2297.4,2050.4,2128.2,2182.7,2226.4,2208.9,2316.1,2369,2511.1,2641.4,2669.1,2599.3,2610.7,2733.1,2635.6,2510.5,2561.3,2434.4,2557.1,2732.4,2708.4,2948.5,2974.2,3031.2,2917.2,3046.9,2909.2,2799.4,2655.6,2954.6,2962.3,3171.5,3274.7,3123.4,3273.8,3396.4,3644.4,3416.9,3665.8,3867.2,4000.7,4030.9,3580.1,4018.7,4031.4,4280.1,4552.6,4692.5,5019.5,5097.9
Idaho,      Wholesale trade,2613.5,2560.6,2593,2648.8,2803,2796.1,2786.3,2900.1,2956.4,3038.5,3107.9,3061.2,3059,3108.9,3107.1,3071.3,2984.1,2859.6,2884.5,2967.8,2987.9,3094.6,3142.4,3083,3131,3136.7,3151,3335.6,3359.6,3380.9,3455.9,3443,3562.1,3702.4,3838.7,3893.7,3799.8,3961.4,4063.8,4037.3,4232.4,4169.6,4161.8,4282.4,4542.2,4474.1,4514.8,4598.9,4579,4672.5,4783.7,4896,4981.2,5061,5122.1,5281.6,5437.6,5501,5542,5570.5,5529.9,5047.4,5644.1,5836.8,5990.4,6452.2,6506.1,6807.5,7030.3
