GeoName,LineCode,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Idaho,1,All industry total,29496.9,31059.8,34239.9,38083.1,37489,38673.2,40490.6,44327.9,48642.8,51125.8,53934.5,56200.8,54064.1,55587.6,56941.1,58323.9,61835.8,64575.2,65899.9,68837.4,71688.4,77493.9,82420.1,83821.6,94316.8
Idaho,2,  Private industries,25068.2,26401.4,29252.9,32765.4,31914.4,32817,34358.9,37790.6,41724.9,43831.8,46373.2,48334.8,46062.9,47594.5,48963,50133,53452.7,56057.7,56908.3,59575.3,61961.1,67257.2,71808.1,72890.7,82877.9
Idaho,3,"    Agriculture, forestry, fishing and hunting",1683.2,1783.6,1784.2,1822.8,1933.8,1965.5,1809.5,2540.9,2227.4,2297.7,2925.5,2948.3,2176.2,2617.7,3404.9,3427.8,3780.5,3951,3572.5,3441.1,3210.7,3570.7,3715.3,3816.1,4084.2
Idaho,4,      Farms,1320.7,1406.7,1407.9,1453.8,1581.2,1608.3,1444.1,2159.2,1841.8,1839.1,2473,2513,1776.1,2177.6,2956,2979.4,3297.1,3436.9,3044.1,2933.3,2683,2975.7,3128,3214.6,(NA)
Idaho,5,"      Forestry, fishing, and related activities",362.5,376.9,376.3,369,352.6,357.2,365.4,381.7,385.6,458.5,452.5,435.3,400.1,440.1,448.9,448.3,483.4,514.2,528.4,507.8,527.6,594.9,587.3,601.5,(NA)
Idaho,6,"    Mining, quarrying, and oil and gas extraction",167.2,189.4,196.6,178.8,149.8,152.1,178.2,209.3,588,543.1,570.6,911.2,865.8,1213.1,1302.7,731,1090.2,1461.6,889.9,1028.2,550.6,562.5,480.7,640.6,1213.1
Idaho,7,      Oil and gas extraction,0,0,0.1,0.2,0.7,1.8,1.7,2.9,3.3,4.4,8.2,32.6,16.7,15.4,13.7,17.4,11.3,11,10.4,26.5,16,9.9,3.5,2.9,(NA)
Idaho,8,      Mining (except oil and gas),163.9,186.1,194,174.8,145.7,147.6,173.3,201.9,579.2,527.9,543.1,852,835.1,1166.4,1242.4,655.1,1022,1388.6,831.8,969.2,511.7,514.5,446.2,610.5,(NA)
Idaho,9,      Support activities for mining,3.3,3.3,2.5,3.8,3.4,2.7,3.2,4.5,5.4,10.7,19.3,26.5,14,31.3,46.6,58.4,56.9,62,47.7,32.5,22.8,38.1,31,27.2,(NA)
Idaho,10,    Utilities,528.1,501.1,552,557,576.4,635.5,581,635.9,601.4,716.8,723.4,826.3,976.3,1174.5,1209.3,1241.7,1320.2,1315.2,1304.1,1328,1375,1315.1,1359.6,1436.2,1542.7
Idaho,11,    Construction,1869.5,1995.5,2102.8,2181.1,2277.2,2175.2,2321,2567.8,3124,3702,4101.8,3457.9,2806,2436.4,2356.2,2525.9,2886.3,3103.8,3267.9,3447.7,3663.5,3852.7,4365.9,4608.1,5263.7
Idaho,12,    Manufacturing,4213.5,4122,5578.6,7636.7,5494.6,5266.6,5578.7,6048.6,6874.7,5786.6,5540.5,6400.7,6388.5,6689.4,6722.5,7003.2,6989.4,7246.7,7075.2,7329.1,7653.1,8582.5,8887.6,9124.3,10333.8
Idaho,13,      Durable goods manufacturing,2790.2,2786.4,3275.2,5372.3,3537,3621.7,3999.3,4606.5,5427.9,4110.1,3677,4296.2,4152.5,4542.5,4371.2,4373.1,4379.3,4638.6,4107.4,4476.3,4562.3,5223,5150,5209,5697.6
Idaho,14,        Wood product manufacturing,485.2,411.4,551.4,375.1,311.3,377.9,394.5,500.2,521.6,447.6,384.9,254.4,240.1,331.5,357.6,446.1,485,564.2,578.7,630.2,701.6,727.6,770.9,787.6,(NA)
Idaho,15,        Nonmetallic mineral product manufacturing,64,50.1,72.1,56.1,73.1,87.6,94.8,86.8,104.6,132.7,136.9,175.6,97.2,89,81.6,88.1,102.5,109.2,117.6,133.3,146.9,188.7,164,173.1,(NA)
Idaho,16,        Primary metal manufacturing,12.6,13.3,13,17,15.3,15.6,21,31.2,48.1,70,97,129.9,105.4,148.3,205.6,255.9,230.7,207.5,190.9,169.3,151,140,151,153.4,(NA)
Idaho,17,        Fabricated metal product manufacturing,185.4,180.2,171.2,193.9,179.3,175.6,189.8,217.5,242.4,272,285.3,308.7,324.4,326,314.1,352.6,404,396.9,415.9,517.6,497,472.9,658.6,606,(NA)
Idaho,18,        Machinery manufacturing,156,138.6,151.7,163.6,72.6,133,138,130.6,149.3,226.6,248.2,215.6,223.4,207.9,241.8,237.5,328.1,250.2,270.3,257.3,273.1,310.2,287.2,297.2,(NA)
Idaho,19,        Computer and electronic product manufacturing,1617.3,1650.2,1987.7,4211.4,2594.2,2530.3,2856.1,3226,3881.5,2479.6,2045.2,2837.8,2811.1,3022.6,2732.9,2493.6,2331.3,2640.4,2017.4,2167.9,2206.1,2759.5,2488.7,2528.8,(NA)
Idaho,20,"        Electrical equipment, appliance, and component manufacturing",22.6,19.9,24.1,29.4,26.7,18.7,19.7,21.8,27,34.1,35.5,54.2,66.8,84.9,84,103.1,75.9,78.9,107.6,151.5,137,149.4,148.6,161.5,(NA)
Idaho,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",64,68.8,80.9,96.9,71.2,76.8,79.4,90.5,118.4,103.3,117.1,71.9,35.7,62.6,78.7,103.4,105.5,86.2,90.3,97.7,116.4,124.4,117.6,136.6,(NA)
Idaho,22,        Other transportation equipment manufacturing,26.1,19.9,29,38.2,18.9,29.1,34.6,40.2,71,63.9,77.2,89,96.6,111.3,104.5,105.5,108.1,111.3,120.2,128.6,116.7,117.9,125.2,95,(NA)
Idaho,23,        Furniture and related product manufacturing,64.7,76.2,85.3,86,77.4,93,83.2,84.8,100.6,99.6,108,90,78.2,71.8,70.5,72.2,81,90,96.2,99,86.4,108.4,108.8,116.2,(NA)
Idaho,24,        Miscellaneous manufacturing,92.3,157.8,109,104.6,97,84,88.2,176.9,163.3,180.7,141.8,69.1,73.5,86.4,100.1,114.9,127.2,103.8,102.4,124,130.1,124.1,129.4,153.7,(NA)
Idaho,25,      Nondurable goods manufacturing,1423.3,1335.6,2303.4,2264.3,1957.6,1644.9,1579.4,1442,1446.8,1676.5,1863.5,2104.5,2236,2146.9,2351.3,2630.1,2610.1,2608.1,2967.8,2852.8,3090.8,3359.5,3737.6,3915.3,4636.2
Idaho,26,        Food and beverage and tobacco product manufacturing,887.6,807.9,1054.7,1078.1,1004.6,1077.8,1019.3,865.4,831.2,1055.1,1150.6,1239.4,1473.5,1413.2,1472.1,1638.2,1659.1,1756.3,1918.1,1827,2031.1,2275,2621.8,2770.9,(NA)
