GeoName,LineCode,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Oregon,1,All industry total,100914.8,105146.8,107621.5,117154.6,116963.6,120665.5,126671.5,135646.8,143507.8,153593.1,159585.2,164925.4,159607.3,164137.2,170630.9,174611,179527.7,188120.7,200659.6,211305.9,222613.8,237066,246647.1,243776.8,266943.1
Oregon,2,  Private industries,87513.6,91257.6,92839,101607.1,100197.8,103292.2,108876,117301.9,124549,133243.9,138434.2,142671.9,136519.3,140480.4,146056.9,150395,154883,162406.8,173687.5,183557.4,193542.6,206381.7,214737.6,211337.3,231933.5
Oregon,3,"    Agriculture, forestry, fishing and hunting",2924.8,2633.3,2711.1,2738,2652.8,2763,3187.4,3524.7,3424.7,3820.8,3580.6,3494.6,3101,3059.8,3432.7,3661.5,3974.5,4054.2,4110.8,4175.5,3877.1,4234.5,4061,4455.1,4892.3
Oregon,4,      Farms,1727.5,1501.7,1476.6,1541.2,1540.1,1552.2,1822.9,2137.2,2034,2283.5,2218.8,2178.8,1892.3,1782.6,2165,2254.8,2550.2,2547.3,2518.5,2601.7,2257.2,2394.6,2287.6,2597.2,(NA)
Oregon,5,"      Forestry, fishing, and related activities",1197.4,1131.6,1234.5,1196.7,1112.7,1210.8,1364.5,1387.5,1390.6,1537.2,1361.8,1315.8,1208.8,1277.2,1267.7,1406.7,1424.2,1506.9,1592.4,1573.8,1619.9,1840,1773.3,1857.9,(NA)
Oregon,6,"    Mining, quarrying, and oil and gas extraction",106.5,129.3,155.5,149.5,152.4,171.7,187.5,234.9,281.5,318,394.7,308.2,294.7,249,237.3,200.3,196.3,199.1,186.4,247.6,284.9,305.7,288.8,291.3,538.4
Oregon,7,      Oil and gas extraction,1.3,0.8,0.8,0.9,0.3,0.2,0.3,0.3,0.7,1.9,2.8,4.3,3.4,5.2,4.3,1.1,1.3,2.4,1,0.8,0,0.8,0.4,0.2,(NA)
Oregon,8,      Mining (except oil and gas),99.1,122.6,149.5,142.6,150,169.4,185,232.8,278.5,311,387,298.7,280.2,230.2,210.8,181.9,179.5,184.6,174.8,238.3,275.1,291.1,274.7,281.5,(NA)
Oregon,9,      Support activities for mining,6.1,5.9,5.3,5.9,2.1,2.1,2.2,1.8,2.3,5.2,4.9,5.1,11.1,13.7,22.2,17.3,15.4,12.2,10.6,8.5,9.8,13.7,13.6,9.7,(NA)
Oregon,10,    Utilities,1560.1,1487.2,1637.5,1618.3,1645.5,1640.1,1614.6,1806.6,1647.5,1893,1797.5,2281,2249.5,2689.9,3292.6,3016.3,2930.7,2856,2666,2904.8,2955.4,2770.1,3059.7,3190.7,3579.8
Oregon,11,    Construction,5296.9,5430,5473.4,5851.9,5526.7,5349.2,5433.4,6111.4,7099,8214,8769.2,7974.9,6443,5419.6,5376.3,6089.4,6512.7,7105.2,7583,8594.1,9603.4,10671,11483.7,11744.7,12532.6
Oregon,12,    Manufacturing,19448.4,20001.4,18462.8,21911.4,19312.9,20654.6,22352.3,25509.1,25369.6,26663.5,26153,26636,24695,25897.8,27923,26783.7,27537.8,28175.7,29881.3,30364.8,31485.5,34060.4,33960.7,33460,36724.4
Oregon,13,      Durable goods manufacturing,15974.3,16238.4,14590.4,17600.2,15238,16236,18405.2,21112.9,20738.2,21659.3,21244.5,22118.4,19207,20926.2,23041.3,22108.9,22311.4,22726.8,23839.6,24394.8,25151.4,27351.3,27123.6,26579.8,28585.8
Oregon,14,        Wood product manufacturing,1979.6,1845.6,2045.7,1838.8,1760.5,1801.3,1906.2,2436.9,2424.5,2101.1,1871.5,1559,1211.2,1426.9,1580,1828.9,2286.4,2123.3,2141.1,2199.3,2526.7,2632.9,2570.7,2670.1,(NA)
Oregon,15,        Nonmetallic mineral product manufacturing,349.4,349.1,313.2,314.5,320,355.3,314,669.8,469.3,474.2,457.3,429.2,332.4,366.9,564.5,459.5,499.6,470.5,589.5,623.2,667.6,674.2,616.7,612.7,(NA)
Oregon,16,        Primary metal manufacturing,656.3,526.5,555.5,721.5,707.5,649.4,594.7,1063.2,1153.1,1504.6,1161.7,1555.4,1023.6,851.7,1253.1,1258.1,1475.5,1453,1357.7,1398,1348.9,1547.3,1555.7,1206.7,(NA)
Oregon,17,        Fabricated metal product manufacturing,1085.8,1045,1056.6,1126.7,911.4,995.6,1080.7,1110.1,1234.9,1208.2,1410.1,1283.2,1022.2,968.7,1072.2,1351,1317.3,1347.5,1412,1502.1,1590.2,1591,1751.9,1597.1,(NA)
Oregon,18,        Machinery manufacturing,781.8,703.3,801.6,1033.4,773.7,925.8,770.2,990.9,1018.1,1073,1249,1140.9,854.6,1061.3,1139.3,1082,1531.3,1495.4,1512.9,1596.7,1736.1,1998.2,1878.2,1841.7,(NA)
Oregon,19,        Computer and electronic product manufacturing,9348.4,10079,8031.5,10614.1,8926.2,9509.8,11742.6,12536.7,12033.6,12577.1,12309.8,13844.4,12913.6,14190,15350.1,13918.2,12649.7,13228.1,13973.5,14185.2,14229.2,15716.7,15511.7,15550.7,(NA)
Oregon,20,"        Electrical equipment, appliance, and component manufacturing",199.2,251.2,239.2,280.3,341.8,157.8,157.8,206.1,216.2,299,278.4,349.5,301.2,326.1,325.3,225.9,354,286.2,461.1,447.9,435.9,422.3,412.9,396.4,(NA)
Oregon,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",574.1,490.5,518,586.7,474.4,630.8,638.9,770.6,807.8,773,781.1,545.3,223.5,430.3,457.9,589,568.7,574.4,631.3,562.4,584.9,624.5,696.5,635.9,(NA)
Oregon,22,        Other transportation equipment manufacturing,287.2,242.7,273.7,300.6,275.3,315.3,337.4,463.6,378.8,592,653.8,347,361.7,368.8,371.3,372.9,561.1,631.7,683.9,754.4,801.6,795.4,855.5,759.6,(NA)
Oregon,23,        Furniture and related product manufacturing,292.4,310.3,325.3,358.1,328.9,408.6,438.6,386.4,466.9,489.8,430,346.5,261.3,216.6,230.7,254.6,276.2,306.7,401.9,483.3,425.9,428.3,431.6,412.7,(NA)
Oregon,24,        Miscellaneous manufacturing,420,395.2,430,425.5,418.2,486.5,424.2,478.6,535.1,567.1,641.8,718.1,701.6,718.8,696.9,768.9,791.6,810.1,674.6,642.2,804.4,920.5,842.2,896.1,(NA)
Oregon,25,      Nondurable goods manufacturing,3474.1,3762.9,3872.4,4311.2,4074.9,4418.6,3947.1,4396.2,4631.4,5004.2,4908.5,4517.6,5488,4971.6,4881.8,4674.8,5226.4,5448.9,6041.7,5970,6334.1,6709.1,6837,6880.2,8138.6
Oregon,26,        Food and beverage and tobacco product manufacturing,1314.4,1373.1,1319.6,1457.3,1579.2,1904.8,1636.5,1733,1954.9,2176.5,2273.1,2080.3,2640,2165.5,2060.9,2148.9,2506.2,2744.2,3068.3,3139.7,3602.9,3873.3,3821.4,3888.4,(NA)
Oregon,27,        Textile mills and textile product mills,34.9,42.3,55.1,54,56,58.3,47,89.2,82.2,83.8,87.8,56.8,50.3,50.5,53.6,73,58.5,64,70.6,71.6,57.9,60.1,57.9,49.8,(NA)
Oregon,28,"        Apparel, leather, and allied product manufacturing",64.7,53.4,60.7,66.4,77.3,54.9,40.2,107.5,109.3,147.3,151.6,102.5,108.4,109.9,105.1,112.9,98.6,89.4,121.7,103.4,91.8,97.7,100,118.8,(NA)
Oregon,29,        Paper manufacturing,852.4,965.7,992.5,1082.1,743.8,944.6,719.8,960.6,996.9,950.1,777.3,764,1207.3,1064.5,989.6,903.9,951.1,824.9,853.1,807.4,738.4,731.9,693.5,725.7,(NA)
Oregon,30,        Printing and related support activities,408.7,466.8,467.2,483.3,475.1,440.2,427.8,426.4,436.7,493,522.4,506.6,375.4,390.4,464.5,398.1,405.5,461.6,465.5,437.9,382.8,392.1,389.4,357.5,(NA)
Oregon,31,        Petroleum and coal products manufacturing,58.6,77.1,60.8,66.8,76.7,78.7,103.7,105.9,99.8,88.8,85.7,118.2,111.9,131.8,142.5,165.4,181.6,251.8,205.4,144.2,215.8,185.7,161,121.5,(NA)
Oregon,32,        Chemical manufacturing,399.6,423.4,516.8,697.7,685.1,545.3,579.3,589.8,502,599.6,565.6,521.9,602.6,601.5,611,478,627,598.3,750.9,783.3,747.6,779.3,953.9,962.4,(NA)
Oregon,33,        Plastics and rubber products manufacturing,340.8,361.1,399.7,403.6,381.5,391.7,392.8,383.7,449.6,465.1,445,367.3,392.2,457.4,454.5,394.7,397.9,414.6,506.2,482.5,496.9,589.1,659.9,655.9,(NA)
Oregon,34,    Wholesale trade,6720,6996.8,7082.3,7839.5,7435.2,7479.6,7963,8941.7,9726,10408.4,11037.5,11298.3,10420,10931.7,11157.3,11947.7,10625.3,10938.6,11523.3,11850.5,12360.6,12984,13661.3,13549.4,15313.1
Oregon,35,    Retail trade,6464.1,7084.2,7177.9,7426.4,7388.9,7587.5,7886.9,8124,8552.3,9091.3,9153.3,8749.2,8449.7,8650.5,8646.8,9074.8,9501.3,9754.7,10401.9,10904.7,11566.4,12147.2,12741.2,13184.6,15241.7
Oregon,36,    Transportation and warehousing,3064,3293.9,3375.7,3660.1,3392.6,3419.2,3670,4089.1,4430.1,4641.9,4642,4711.9,4341.3,4621,4683.3,5033.4,5097.9,5428.7,5843.5,6108.5,6440.7,6796.9,7201.9,6197.9,6901.8
Oregon,37,      Air transportation,503.4,503,526.6,518.4,394.6,407.4,433.4,490.3,576.6,490.9,614.1,608.1,662.4,855.9,774,964.3,965.7,1078.8,1190.8,1349.4,1464.8,1494.8,1587.5,478.8,(NA)
Oregon,38,      Rail transportation,248.3,270.4,271.1,276,275.6,258.9,272.5,302.9,331.6,367.8,360.8,395.1,326.2,336.9,358.3,375.4,401,422.3,431.1,393.7,403.4,420.9,399.6,349.5,(NA)
Oregon,39,      Water transportation,134.1,126.3,123.2,192.6,166.9,136.1,169.4,140.7,153.8,189.8,177.6,187.2,134.8,114.7,103.2,101.9,127.6,114.9,103.5,99.6,88.3,89.6,77,62.1,(NA)
Oregon,40,      Truck transportation,1080.3,1178.9,1242,1343,1251.1,1257.9,1332.1,1412.3,1526,1691.5,1662.7,1591.2,1411.1,1455.4,1539.6,1628.4,1652.9,1781,1925.4,1956.9,2038.1,2125.5,2172.6,2108.6,(NA)
Oregon,41,      Transit and ground passenger transportation,159.3,142,149.4,159.9,170.2,179.8,189.2,208.6,213.7,239.4,245.3,261.4,296.8,324.8,354.3,401.8,409.9,435.8,476.7,505.2,559.3,591.6,607,469.1,(NA)
Oregon,42,      Pipeline transportation,19.8,38.3,43.6,33,6.7,4.6,8.1,8.9,10.3,14.5,16.9,17.8,7.6,8.4,13.8,15,16.3,15.1,22.7,23.7,25.9,26.6,28.9,41.2,(NA)
Oregon,43,      Other transportation and support activities,649.3,688,674,763,765.6,805.2,891.2,1103.4,1151.2,1176.7,1081.8,1135.9,1012,1058.9,1091.5,1088.3,1096.4,1144.5,1249.6,1290.7,1340.4,1431.9,1521.3,1705.4,(NA)
Oregon,44,      Warehousing and storage,269.5,347,345.8,374.3,362,369.2,374.1,421.9,467,471.3,483,515.2,490.3,466,448.7,458.3,428,436.2,443.8,489.5,520.5,616.1,808.1,983.4,(NA)
Oregon,45,    Information,3225.1,3359.8,3843.6,3813.7,4185.3,4241.9,4398.6,4822,4997.6,5287.9,5888.6,6291.9,6137.8,6341.6,6452.7,6352,6652.5,6827.8,7373.5,7608.5,8397.5,9098.6,9428.9,9817.8,11034.2
Oregon,46,      Publishing industries (except Internet),1123,1198.8,1531.1,1467.2,1582.1,1725.1,1919.7,2089,2326.4,2343.7,2851,2879.4,2715.1,2858.2,2981.6,2943.8,3068.4,3210.2,3416,3597.6,3964.9,4348.4,4502,4764.2,(NA)
Oregon,47,      Motion picture and sound recording industries,146.8,175.1,266.9,217.7,383.1,330.9,203.9,267.1,203.9,265.9,383.7,432.8,484.9,401.1,463.8,492.8,485.2,415.3,495.8,543.1,587.2,548,546.4,399.1,(NA)
Oregon,48,      Broadcasting (except Internet) and telecommunications,1743.8,1731.7,1806.7,1976.3,1913.7,1776.6,1823,1899.3,1924.4,1972.4,1960.4,1976,1885,1871.7,1783.3,1798.5,1989.6,1969.5,2074.7,1923.3,2152.5,2136.9,1965.5,1905.5,(NA)
Oregon,49,"      Data processing, hosting, and other information services",211.6,254.3,239,152.5,306.4,409.3,452,566.6,542.8,705.9,693.5,1003.8,1052.8,1210.6,1224,1116.9,1109.3,1232.8,1387.1,1544.5,1692.8,2065.2,2415,2749,(NA)
Oregon,50,"    Finance, insurance, real estate, rental, and leasing",18041.4,19056.7,19757.8,21116.1,22116.5,22500.9,23169.6,23028,25926.8,27059.4,28913,30791.1,30911.6,31830.5,32194.2,32808.3,33209.6,35327.5,37661.7,40831.2,42896.8,45638.4,47728.5,48134.4,50857.3
Oregon,51,      Finance and insurance,4814.9,5457,5071.6,5498.2,5373.3,5751.4,6106.2,6041,6593.7,7133.5,7315.9,6402.9,7145.5,7046.6,7318.8,7882.2,7245.1,8639.8,9377.6,10378.8,10022.1,10910.9,11101.1,11469.9,12417.7
Oregon,52,"        Monetary Authorities- central bank, credit intermediation, and related services",2083.8,2513.3,2194.6,2187.4,2151.1,2618.7,2873.1,2561.4,2579.5,2938.3,2813.1,2424.5,2975.3,2840.3,3133.4,3566.9,2944.8,3510.6,3697.4,3832.2,4003.5,4262.1,4406,4234.6,(NA)
Oregon,53,"        Securities, commodity contracts, and other financial investments and related activities",535.5,548.4,540.3,606.2,677.7,639.2,611.5,602.6,730.3,854.2,770.2,411,667,689.4,621.1,834.2,944.5,868.8,890.5,1022.5,1100.7,1303.5,1395.5,1427.4,(NA)
Oregon,54,        Insurance carriers and related activities,2173.9,2349.9,2278.7,2655.2,2497.3,2450.6,2555.1,2800.8,3198.5,3267.5,3597.7,3454.6,3401,3381.2,3453,3441.7,3324.9,4231.1,4685.5,5514.8,4911.6,5331.3,5284.9,5788.5,(NA)
