year,idaho_population
1900,163.000
1901,176.000
1902,199.000
1903,216.000
1904,229.000
1905,246.000
1906,262.000
1907,277.000
1908,291.000
1909,311.000
1910,329.000
1911,343.000
1912,359.000
1913,371.000
1914,384.000
1915,394.000
1916,405.000
1917,413.000
1918,405.000
1919,424.000
1920,433.000
1921,435.000
1922,436.000
1923,436.000
1924,434.000
1925,436.000
1926,441.000
1927,447.000
1928,449.000
1929,447.000
1930,447.000
1931,454.000
1932,459.000
1933,464.000
1934,473.000
1935,481.000
1936,495.000
1937,507.000
1938,513.000
1939,521.000
1940,522.000
1941,501.000
1942,478.000
1943,500.000
1944,529.000
1945,507.000
1946,509.000
1947,522.000
1948,551.000
1949,570.000
1950,590.000
1951,589.000
1952,587.000
1953,596.000
1954,600.000
1955,618.000
1956,628.000
1957,642.000
1958,646.000
1959,657.000
1960,671.000
1961,684.000
1962,692.000
1963,683.000
1964,680.000
1965,686.000
1966,689.000
1967,688.000
1968,695.000
1969,707.000
1970,713.015
1971,738.753
1972,763.237
1973,782.074
1974,807.990
1975,831.982
1976,856.983
1977,883.469
1978,910.690
1979,932.627
1980,947.983
1981,962.204
1982,973.721
1983,981.869
1984,990.839
1985,994.051
1986,990.224
1987,984.997
1988,985.664
1989,994.416
1990,1011.882
1991,1038.915
1992,1066.490
1993,1101.204
1994,1135.459
1995,1165.000
1996,1187.706
1997,1210.638
1998,1230.923
1999,1251.700
2000,1299.430
2001,1319.962
2002,1340.372
2003,1363.380
2004,1391.802
2005,1428.241
2006,1468.669
2007,1505.105
2008,1534.320
2009,1554.439
2010,1570.819
2011,1584.272
2012,1595.910
2013,1612.053
2014,1632.248
2015,1652.495
2016,1684.036
2017,1719.745
2018,1752.074
2019,1789.060
2020,1847.772
2021,1900.923
