year,kansas_population
1900,1473.000
1901,1490.000
1902,1505.000
1903,1498.000
1904,1527.000
1905,1555.000
1906,1576.000
1907,1612.000
1908,1629.000
1909,1658.000
1910,1692.000
1911,1684.000
1912,1671.000
1913,1663.000
1914,1662.000
1915,1687.000
1916,1727.000
1917,1748.000
1918,1729.000
1919,1756.000
1920,1769.000
1921,1779.000
1922,1799.000
1923,1808.000
1924,1807.000
1925,1825.000
1926,1836.000
1927,1836.000
1928,1850.000
1929,1867.000
1930,1883.000
1931,1881.000
1932,1883.000
1933,1877.000
1934,1868.000
1935,1872.000
1936,1869.000
1937,1856.000
1938,1842.000
1939,1824.000
1940,1788.000
1941,1765.000
1942,1760.000
1943,1796.000
1944,1779.000
1945,1731.000
1946,1805.000
1947,1853.000
1948,1892.000
1949,1925.000
1950,1916.000
1951,1950.000
1952,1977.000
1953,1994.000
1954,2042.000
1955,2093.000
1956,2119.000
1957,2128.000
1958,2142.000
1959,2160.000
1960,2183.000
1961,2215.000
1962,2231.000
1963,2217.000
1964,2209.000
1965,2206.000
1966,2200.000
1967,2197.000
1968,2216.000
1969,2236.000
1970,2249.071
1971,2246.600
1972,2256.375
1973,2265.603
1974,2269.499
1975,2280.578
1976,2301.001
1977,2320.647
1978,2335.657
1979,2350.906
1980,2369.039
1981,2384.849
1982,2401.202
1983,2415.531
1984,2424.086
1985,2427.405
1986,2432.619
1987,2445.367
1988,2461.996
1989,2472.849
1990,2480.683
1991,2495.209
1992,2526.042
1993,2547.605
1994,2569.118
1995,2586.942
1996,2598.266
1997,2616.339
1998,2638.667
1999,2654.052
2000,2693.681
2001,2702.162
2002,2713.535
2003,2723.004
2004,2734.373
2005,2745.299
2006,2762.931
2007,2783.785
2008,2808.076
2009,2832.704
2010,2858.266
2011,2869.677
2012,2886.024
2013,2894.306
2014,2901.861
2015,2910.717
2016,2912.977
2017,2910.892
2018,2912.748
2019,2912.635
2020,2935.880
2021,2934.582
