year,washington_population
1900,523.000
1901,583.000
1902,651.000
1903,719.000
1904,782.000
1905,842.000
1906,904.000
1907,967.000
1908,1028.000
1909,1091.000
1910,1148.000
1911,1167.000
1912,1184.000
1913,1209.000
1914,1231.000
1915,1239.000
1916,1255.000
1917,1287.000
1918,1341.000
1919,1333.000
1920,1373.000
1921,1405.000
1922,1415.000
1923,1433.000
1924,1467.000
1925,1494.000
1926,1516.000
1927,1538.000
1928,1551.000
1929,1555.000
1930,1568.000
1931,1581.000
1932,1584.000
1933,1592.000
1934,1610.000
1935,1629.000
1936,1653.000
1937,1681.000
1938,1698.000
1939,1715.000
1940,1740.000
1941,1789.000
1942,1901.000
1943,2027.000
1944,2092.000
1945,2206.000
1946,2288.000
1947,2211.000
1948,2255.000
1949,2294.000
1950,2387.000
1951,2424.000
1952,2448.000
1953,2466.000
1954,2516.000
1955,2604.000
1956,2668.000
1957,2724.000
1958,2773.000
1959,2821.000
1960,2855.000
1961,2882.000
1962,2942.000
1963,2955.000
1964,2961.000
1965,2967.000
1966,3057.000
1967,3174.000
1968,3270.000
1969,3343.000
1970,3413.244
1971,3447.553
1972,3447.885
1973,3478.782
1974,3549.946
1975,3621.339
1976,3693.610
1977,3776.050
1978,3889.073
1979,4017.632
1980,4154.678
1981,4235.731
1982,4276.552
1983,4300.266
1984,4343.656
1985,4400.098
1986,4452.720
1987,4531.901
1988,4639.893
1989,4746.316
1990,4900.780
1991,5013.443
1992,5139.011
1993,5247.704
1994,5334.896
1995,5431.024
1996,5509.963
1997,5604.105
1998,5687.832
1999,5756.361
2000,5910.512
2001,5985.722
2002,6052.349
2003,6104.115
2004,6178.645
2005,6257.305
2006,6370.753
2007,6461.587
2008,6562.231
2009,6667.426
2010,6743.009
2011,6827.479
2012,6898.599
2013,6966.252
2014,7057.531
2015,7167.287
2016,7299.961
2017,7427.951
2018,7526.793
2019,7614.024
2020,7718.785
2021,7738.692
,
,
,
,
,
,
,
,
,
,
,
