year,dollars
1950,17290
1951,18932
1952,20174
1953,19109
1954,19020
1955,23769
1956,26396
1957,27587
1958,35553
1959,46962
1960,45265
1961,70621
1962,77505
1963,67486
1964,77256
1965,83875
1966,95046
1967,104187
1968,117762
1969,135474
1970,162610
1971,172298
1972,210732
1973,224778
1974,303272
1975,338613
1976,389976
1977,419495
1978,461543
1979,569373
1980,571932
1981,541114
1982,640344
1983,711675
1984,851348
1985,1009273
1986,1072868
1987,1158761
1988,1306699
1989,1444030
1990,1465052
1991,1580799
1992,1735412
1993,1902484
1994,2071210
1995,2291734
1996,2479885
1997,2784612
1998,3152680
1999,3655916
2000,3971900
2001,4233434
2002,3680977
2003,3435649
2004,3653482
2005,4086570
2006,4716617
2007,5274868
2008,5575967
2009,4732991
2010,4449951
2011,4924099
2012,5367851
2013,6180665
2014,6375963
2015,7029683
2016,7111711
2017,7320472
2018,8293045
2019,8966205
2020,8235796
2021,11524577
