year,dollars
1950,8671
1951,9893
1952,10816
1953,10224
1954,8126
1955,8063
1956,12958
1957,14217
1958,15212
1959,18455
1960,25973
1961,24447
1962,26725
1963,27015
1964,31363
1965,37022
1966,37697
1967,40806
1968,42627
1969,48508
1970,47787
1971,68841
1972,63085
1973,73715
1974,95259
1975,119406
1976,130576
1977,143504
1978,171376
1979,182628
1980,201742
1981,236382
1982,261209
1983,254888
1984,253137
1985,300912
1986,298626
1987,312644
1988,342343
1989,418295
1990,475753
1991,505860
1992,603653
1993,585810
1994,653985
1995,729194
1996,807785
1997,849934
1998,896603
1999,943167
2000,1091288
2001,1172514
2002,919144
2003,937270
2004,1011579
2005,1181097
2006,1420871
2007,1594691
2008,1628712
2009,1317844
2010,1167081
2011,1339461
2012,1401924
2013,1492902
2014,1528077
2015,1695450
2016,1710234
2017,1876889
2018,2076673
2019,1953737
2020,2159428
2021,2809422
