year,dollars
1950,11769
1951,13868
1952,14731
1953,15088
1954,15087
1955,16642
1956,17208
1957,17871
1958,20553
1959,29153
1960,32434
1961,32688
1962,36060
1963,39215
1964,40198
1965,44620
1966,95541
1967,94959
1968,82534
1969,92549
1970,97681
1971,107268
1972,128498
1973,168089
1974,223909
1975,255931
1976,286578
1977,331883
1978,369737
1979,438927
1980,485578
1981,565436
1982,542370
1983,672004
1984,704134
1985,763129
1986,738502
1987,771540
1988,1021838
1989,1042674
1990,1067231
1991,1093690
1992,1032754
1993,1259459
1994,1449220
1995,1494397
1996,1632126
1997,1803896
1998,2049897
1999,1950115
2000,2134042
2001,2225183
2002,1976779
2003,1901403
2004,2082139
2005,2327867
2006,2782387
2007,3272361
2008,3472862
2009,3102448
2010,3039961
2011,2936361
2012,3209321
2013,3341141
2014,2841841
2015,2721257
2016,2623779
2017,2714618
2018,3851644
2019,4264874
2020,3813961
2021,5344578
