year,dollars
1950,46477
1951,50484
1952,64896
1953,62206
1954,56334
1955,56822
1956,85171
1957,112958
1958,105473
1959,93394
1960,117083
1961,105403
1962,111941
1963,121835
1964,146201
1965,162457
1966,178443
1967,185507
1968,175544
1969,241866
1970,252933
1971,250762
1972,291832
1973,351686
1974,438130
1975,517693
1976,538804
1977,652999
1978,811722
1979,972962
1980,1045401
1981,1160607
1982,1092435
1983,1306841
1984,1361907
1985,1464553
1986,1355495
1987,1597985
1988,1450694
1989,1883140
1990,1974430
1991,2132779
1992,2373458
1993,2588245
1994,2847209
1995,3109576
1996,3123532
1997,3656667
1998,3717797
1999,4033978
2000,4504511
2001,4706975
2002,3871219
2003,4249080
2004,4590805
2005,5064341
2006,5854721
2007,6001688
2008,5445904
2009,5406136
2010,5299127
2011,5961725
2012,6258923
2013,6719905
2014,7144552
2015,7930842
2016,8245616
2017,9012271
2018,9684005
2019,10758070
2020,9528152
2021,12480427
