year,dollars
1950,201560
1951,226213
1952,249085
1953,265630
1954,273899
1955,293483
1956,337749
1957,354922
1958,374351
1959,417975
1960,460770
1961,477361
1962,522575
1963,549689
1964,561660
1965,601586
1966,696522
1967,775641
1968,878644
1969,980715
1970,1028028
1971,1126357
1972,1174568
1973,1287146
1974,1359740
1975,1554074
1976,1848055
1977,2100035
1978,2448039
1979,2718277
1980,2917445
1981,3125815
1982,3524903
1983,4191161
1984,4542268
1985,4585551
1986,5219292
1987,5639369
1988,5994964
1989,6510602
1990,7423096
1991,7989522
1992,8476932
1993,8903856
1994,9737030
1995,10195584
1996,10586463
1997,11202296
1998,11806170
1999,12337555
2000,12567383
2001,12679410
2002,12628567
2003,12960220
2004,13895346
2005,14839634
2006,16410977
2007,17705980
2008,17959833
2009,16407536
2010,16106154
2011,17411033
2012,17624715
2013,18787187
2014,19447899
2015,20644454
2016,22280088
2017,23995147
2018,26579324
2019,28386549
2020,29475998
2021,33172946
