year,dollars
1950,17663
1951,22126
1952,24155
1953,27451
1954,29845
1955,30787
1956,33090
1957,33499
1958,36072
1959,37550
1960,41460
1961,41230
1962,43999
1963,45016
1964,47522
1965,47920
1966,55788
1967,55284
1968,68671
1969,77858
1970,84475
1971,93241
1972,97145
1973,105172
1974,124235
1975,154268
1976,193102
1977,233336
1978,289484
1979,342822
1980,388125
1981,469058
1982,762533
1983,735902
1984,801537
1985,806416
1986,795445
1987,631669
1988,573030
1989,581971
1990,611613
1991,637452
1992,645929
1993,661599
1994,739395
1995,666725
1996,710512
1997,755442
1998,855716
1999,811648
2000,963650
2001,1124292
2002,1094402
2003,1217154
2004,1504777
2005,1739646
2006,2122239
2007,2025090
2008,2404843
2009,2763610
2010,2158260
2011,2271704
2012,2304628
2013,2186054
2014,2263387
2015,2356323
2016,1913607
2017,1649550
2018,1837401
2019,2110704
2020,1963896
2021,1882940
