DATE,WATOTLTAX
1942-01-01,90388
1943-01-01,.
1944-01-01,111114
1945-01-01,.
1946-01-01,134872
1947-01-01,.
1948-01-01,191837
1949-01-01,.
1950-01-01,201560
1951-01-01,226213
1952-01-01,249085
1953-01-01,265630
1954-01-01,273899
1955-01-01,293483
1956-01-01,337749
1957-01-01,354922
1958-01-01,374351
1959-01-01,417975
1960-01-01,460770
1961-01-01,477361
1962-01-01,522575
1963-01-01,549689
1964-01-01,561660
1965-01-01,601586
1966-01-01,696522
1967-01-01,775641
1968-01-01,878644
1969-01-01,980715
1970-01-01,1028028
1971-01-01,1126357
1972-01-01,1174568
1973-01-01,1287146
1974-01-01,1359740
1975-01-01,1554074
1976-01-01,1848055
1977-01-01,2100035
1978-01-01,2448039
1979-01-01,2718277
1980-01-01,2917445
1981-01-01,3125815
1982-01-01,3524903
1983-01-01,4191161
1984-01-01,4542268
1985-01-01,4585551
1986-01-01,5219292
1987-01-01,5639369
1988-01-01,5994964
1989-01-01,6510602
1990-01-01,7423096
1991-01-01,7989522
1992-01-01,8476932
1993-01-01,8903856
1994-01-01,9737030
1995-01-01,10195584
1996-01-01,10586463
1997-01-01,11202296
1998-01-01,11806170
1999-01-01,12337555
2000-01-01,12567383
2001-01-01,12679410
2002-01-01,12628567
2003-01-01,12960220
2004-01-01,13895346
2005-01-01,14839634
2006-01-01,16410977
2007-01-01,17705980
2008-01-01,17959833
2009-01-01,16407536
2010-01-01,16106154
2011-01-01,17411033
2012-01-01,17624715
2013-01-01,18787187
2014-01-01,19447899
2015-01-01,20644454
2016-01-01,22280088
2017-01-01,23995147
2018-01-01,26579324
2019-01-01,28386549
2020-01-01,29475998
2021-01-01,33172946
